Envi,Formula,rho,p,Group
WSOCbb,C11H8O6S,0.597,0.001,Ulaanbaatar
WSOCbb,C11H9N3O4,0.597,0.001,Ulaanbaatar
WSOCbb,C11H9NO,-0.401,0.0379,Ulaanbaatar
WSOCbb,C11H9NO2,-0.443,0.0207,Ulaanbaatar
WSOCbb,C11H9NO3,-0.262,0.1863,Ulaanbaatar
WSOCbb,C11H9NO4,0.555,0.0027,Ulaanbaatar
WSOCbb,C11H9NO5,0.208,0.2967,Ulaanbaatar
WSOCbb,C11H9NO5S,0.366,0.0606,Ulaanbaatar
WSOCbb,C11H9NO6,0.366,0.0606,Ulaanbaatar
WSOCbb,C11H9NO6S,0.576,0.0017,Ulaanbaatar
WSOCbb,C11H9NO7,0.576,0.0017,Ulaanbaatar
WSOCbb,C11H9NO7S,0.773,0,Ulaanbaatar
WSOCbb,C12H10N2O5,0.168,0.4015,Ulaanbaatar
WSOCbb,C12H10N2O6,0.168,0.4015,Ulaanbaatar
WSOCbb,C12H10N2O7,0.168,0.4015,Ulaanbaatar
WSOCbb,C12H10N2O8,0.168,0.4015,Ulaanbaatar
WSOCbb,C12H10O,-0.561,0.0023,Ulaanbaatar
WSOCbb,C12H10O2,-0.432,0.0244,Ulaanbaatar
WSOCbb,C12H10O3,0.312,0.113,Ulaanbaatar
WSOCbb,C12H10O4,0.728,0,Ulaanbaatar
WSOCbb,C12H10O4S,-0.09,0.6551,Ulaanbaatar
WSOCbb,C12H10O5,0.39,0.0442,Ulaanbaatar
WSOCbb,C12H10O5S,-0.431,0.0249,Ulaanbaatar
WSOCbb,C12H10O6,0.437,0.0226,Ulaanbaatar
WSOCbb,C12H10O6S,0.202,0.3131,Ulaanbaatar
WSOCbb,C12H10O7,0.202,0.3131,Ulaanbaatar
WSOCbb,C12H10O7S,0.309,0.1172,Ulaanbaatar
WSOCbb,C12H11N3O6,-0.02,0.9229,Ulaanbaatar
WSOCbb,C12H11NO,-0.612,7.00E-04,Ulaanbaatar
WSOCbb,C12H11NO2,-0.156,0.4362,Ulaanbaatar
WSOCbb,C12H11NO3,-0.26,0.1906,Ulaanbaatar
WSOCbb,C12H11NO4,-0.019,0.9268,Ulaanbaatar
WSOCbb,C12H11NO4S,0.121,0.5491,Ulaanbaatar
WSOCbb,C12H11NO5,-0.122,0.5429,Ulaanbaatar
WSOCbb,C12H11NO5S,0.417,0.0305,Ulaanbaatar
WSOCbb,C12H11NO6,0.417,0.0305,Ulaanbaatar
WSOCbb,C12H11NO6S,0.613,7.00E-04,Ulaanbaatar
WSOCbb,C12H11NO7,0.613,7.00E-04,Ulaanbaatar
WSOCbb,C12H11NO7S,0.646,3.00E-04,Ulaanbaatar
WSOCbb,C12H11NO9S,0.646,3.00E-04,Ulaanbaatar
WSOCbb,C12H12N2O3,0.646,3.00E-04,Ulaanbaatar
WSOCbb,C12H12N2O4,0.646,3.00E-04,Ulaanbaatar
WSOCbb,C12H12N2O4S,0.324,0.0991,Ulaanbaatar
WSOCbb,C12H12N2O5,0.324,0.0991,Ulaanbaatar
WSOCbb,C12H12N2O5S,0.552,0.0028,Ulaanbaatar
WSOCbb,C12H12N2O6,0.552,0.0028,Ulaanbaatar
WSOCbb,C12H12N2O6S,0.556,0.0026,Ulaanbaatar
WSOCbb,C12H12N2O7,0.556,0.0026,Ulaanbaatar
WSOCbb,C12H12N2O7S,0.652,2.00E-04,Ulaanbaatar
WSOCbb,C12H12N2O8,0.652,2.00E-04,Ulaanbaatar
WSOCbb,C12H12O,-0.321,0.1022,Ulaanbaatar
WSOCbb,C12H12O2,0.417,0.0305,Ulaanbaatar
WSOCbb,C12H12O3,-0.077,0.704,Ulaanbaatar
WSOCbb,C12H12O4,0.713,0,Ulaanbaatar
WSOCbb,C12H12O4S,-0.207,0.3013,Ulaanbaatar
WSOCbb,C12H12O5,0.365,0.0613,Ulaanbaatar
